date,model,measure,value
01-Jul-1997,biuc_lrexp,p84,2.35006350905832
01-Oct-1997,biuc_lrexp,p84,2.19169917149743
01-Jan-1998,biuc_lrexp,p84,2.14756471942426
01-Apr-1998,biuc_lrexp,p84,2.09575850214033
01-Jul-1998,biuc_lrexp,p84,2.08404196735922
01-Oct-1998,biuc_lrexp,p84,2.07449177741329
01-Jan-1999,biuc_lrexp,p84,2.01141457003331
01-Apr-1999,biuc_lrexp,p84,2.07383927108505
01-Jul-1999,biuc_lrexp,p84,2.0764841562926
01-Oct-1999,biuc_lrexp,p84,2.07832899662935
01-Jan-2000,biuc_lrexp,p84,2.08044432753812
01-Apr-2000,biuc_lrexp,p84,2.07713792441458
01-Jul-2000,biuc_lrexp,p84,2.07564077964261
01-Oct-2000,biuc_lrexp,p84,2.07263465947211
01-Jan-2001,biuc_lrexp,p84,2.07122699887137
01-Apr-2001,biuc_lrexp,p84,2.07050327902581
01-Jul-2001,biuc_lrexp,p84,2.06719949728613
01-Oct-2001,biuc_lrexp,p84,2.07692860341388
01-Jan-2002,biuc_lrexp,p84,2.06715635305764
01-Apr-2002,biuc_lrexp,p84,2.06808325903681
01-Jul-2002,biuc_lrexp,p84,2.06744557631474
01-Oct-2002,biuc_lrexp,p84,2.05789779412327
01-Jan-2003,biuc_lrexp,p84,2.06897938637067
01-Apr-2003,biuc_lrexp,p84,2.06682471268996
01-Jul-2003,biuc_lrexp,p84,2.06939895848696
01-Oct-2003,biuc_lrexp,p84,2.0690185690692
01-Jan-2004,biuc_lrexp,p84,2.06953248159151
01-Apr-2004,biuc_lrexp,p84,2.06991319299476
01-Jul-2004,biuc_lrexp,p84,2.06920721381014
01-Oct-2004,biuc_lrexp,p84,2.07056577597444
01-Jan-2005,biuc_lrexp,p84,2.06180743578256
01-Apr-2005,biuc_lrexp,p84,2.06879464930346
01-Jul-2005,biuc_lrexp,p84,2.07047720689422
01-Oct-2005,biuc_lrexp,p84,2.07077836780378
01-Jan-2006,biuc_lrexp,p84,2.06813400167147
01-Apr-2006,biuc_lrexp,p84,2.06772956676194
01-Jul-2006,biuc_lrexp,p84,2.06550529282667
01-Oct-2006,biuc_lrexp,p84,2.05936211800703
01-Jan-2007,biuc_lrexp,p84,2.04376207525363
01-Apr-2007,biuc_lrexp,p84,2.04295428990045
01-Jul-2007,biuc_lrexp,p84,2.05900171073649
01-Oct-2007,biuc_lrexp,p84,2.06228211873576
01-Jan-2008,biuc_lrexp,p84,2.07856985331252
01-Apr-2008,biuc_lrexp,p84,2.07852014246081
01-Jul-2008,biuc_lrexp,p84,2.07823273440187
01-Oct-2008,biuc_lrexp,p84,2.07566662113158
01-Jan-2009,biuc_lrexp,p84,2.07406398940506
01-Apr-2009,biuc_lrexp,p84,2.08225469394329
01-Jul-2009,biuc_lrexp,p84,2.06188841135602
01-Oct-2009,biuc_lrexp,p84,2.0505083864295
01-Jan-2010,biuc_lrexp,p84,2.04612554877087
01-Apr-2010,biuc_lrexp,p84,2.05074178637641
01-Jul-2010,biuc_lrexp,p84,2.04189080231548
01-Oct-2010,biuc_lrexp,p84,2.0281061123429
01-Jan-2011,biuc_lrexp,p84,2.04493821222537
01-Apr-2011,biuc_lrexp,p84,2.07282874043633
01-Jul-2011,biuc_lrexp,p84,2.07050177403643
01-Oct-2011,biuc_lrexp,p84,2.05213666861219
01-Jan-2012,biuc_lrexp,p84,2.05085623535118
01-Apr-2012,biuc_lrexp,p84,2.0525760105363
01-Jul-2012,biuc_lrexp,p84,2.04898638490851
01-Oct-2012,biuc_lrexp,p84,2.0270784683245
01-Jan-2013,biuc_lrexp,p84,2.00465656052523
01-Apr-2013,biuc_lrexp,p84,1.99868936074242
01-Jul-2013,biuc_lrexp,p84,1.99734662653374
01-Oct-2013,biuc_lrexp,p84,1.99527337507708
01-Jan-2014,biuc_lrexp,p84,1.99453096673583
01-Apr-2014,biuc_lrexp,p84,1.99362580303192
01-Jul-2014,biuc_lrexp,p84,1.9923662379494
01-Oct-2014,biuc_lrexp,p84,1.99207212370367
01-Jan-2015,biuc_lrexp,p84,1.98893029773902
01-Apr-2015,biuc_lrexp,p84,1.98776742390515
01-Jul-2015,biuc_lrexp,p84,1.98985285390055
01-Oct-2015,biuc_lrexp,p84,1.97314629171888
01-Jan-2016,biuc_lrexp,p84,1.98611539873562
01-Apr-2016,biuc_lrexp,p84,1.99654181153689
01-Jul-2016,biuc_lrexp,p84,2.00007453306372
01-Oct-2016,biuc_lrexp,p84,2.00573324585529
01-Jan-2017,biuc_lrexp,p84,2.0271548591892
01-Apr-2017,biuc_lrexp,p84,2.02830476039081
01-Jul-2017,biuc_lrexp,p84,2.01404279743746
01-Oct-2017,biuc_lrexp,p84,2.0158394621035
01-Jan-2018,biuc_lrexp,p84,2.01678934143317
01-Apr-2018,biuc_lrexp,p84,2.0203003782012
01-Jul-2018,biuc_lrexp,p84,2.02176457321291
01-Oct-2018,biuc_lrexp,p84,2.02721923798942
01-Jan-2019,biuc_lrexp,p84,2.02990329693504
